node,origami_data,decoded_stream,induced_errors,related_parity_bits,common_parity_bits,related_checksum_bits,success,decoding_time
0,00000100001011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;11,11;12;15;17;21;38;51;63;64,,34;35,1,0.034
0,00000100001101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;12,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;13,11;12;15;17;21;38;51;63;64,,34;35,1,0.036
0,00000100001111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;14,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;15,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;19,11;12;15;17;21;38;48;51;62;63;64;66,,34;35,1,0.034
0,00000100001111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;20,11;12;15;17;18;21;28;38;41;51;63;64;65;66,,34;35,1,0.037
0,00000100001111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;26,11;12;14;15;17;21;38;48;51;58;63;64,63,34;35,1,0.037
0,00000100001111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;29,11;12;15;17;21;38;48;51;63;64,63,34;35,1,0.037
0,00000100001111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;30,11;12;15;17;21;38;41;51;61;62;63;64;66,,34;35,1,0.037
0,00000100001111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;31,11;12;15;17;21;38;51;63;64,,34;35,1,0.036
0,00000100001111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;32,11;12;13;15;17;21;38;51;63;64;65;67,,34;35,1,0.037
0,00000100001111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;34,11;12;15;17;21;31;38;51;61;62;63;64;66,,34;35,1,0.037
0,00000100001111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;36,11;12;14;15;17;21;38;51;61;63;64,,34;35,1,0.035
0,00000100001111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;41,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;42,11;12;15;17;21;38;48;51;61;63;64,63,34;35;44,1,0.036
0,00000100001111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;43,11;12;15;17;18;21;38;51;58;63;64;65;67,,34;35;44,1,0.036
0,00000100001111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;48,11;12;15;17;21;38;51;63;64,,34;35,1,0.034
0,00000100001111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;52,11;12;15;17;21;28;38;48;51;63;64;65;68,63,34;35;44,1,0.037
0,00000100001111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;55,11;12;15;17;18;21;38;41;51;63;64;66;67,,34;35;45,1,0.036
0,00000100001111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;60,11;12;13;15;17;21;28;31;38;51;63;64;68,,34;35;44,1,0.034
0,00000100001111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;61,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;62,11;12;15;17;21;38;51;63;64,,34;35,1,0.04
0,00000100001111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;63,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;67,11;12;15;17;21;38;51;63;64,,34;35,1,0.037
0,00000100001111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;73,11;12;15;17;21;38;48;51;63;64;68,,34;35;44,1,0.037
0,00000100001111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;74,11;12;15;17;21;38;48;51;63;64;65;66,,34;35;44,1,0.037
0,00000100001111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;76,11;12;15;17;21;28;38;41;51;61;63;64;65,,34;35;45,1,0.037
0,00000100010011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;11,11;12;15;18;41;51;58;63;67,,34,1,0.034
0,00000100010101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;12,11;12;15;18;41;51;58;63;67,,34,1,0.034
0,00000100010110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;13,11;12;15;18;41;51;58;63;67,,34,1,0.034
0,00000100010111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;14,11;12;15;18;41;51;58;63;67,,34,1,0.033
0,00000100010111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;15,11;12;15;18;41;51;58;63;67,,34,1,0.034
0,00000100010111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;19,11;12;15;18;41;48;51;58;62;63;66;67,,34;35,1,0.035
0,00000100010111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;20,11;12;15;18;28;41;51;58;63;65;66;67,,34,1,0.829
0,00000100010111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110011100000000111101011001111000010011011000011111001000001101000,1;10;26,11;12;14;15;18;41;48;51;58;63;67,63,34;35,0,1.238
0,00000100010111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;29,11;12;15;18;21;41;48;51;58;63;64;67,63,34;35,1,0.035
0,00000100010111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;30,11;12;15;18;21;41;51;58;61;62;63;66;67,,34,1,0.034
0,00000100010111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;31,11;12;15;18;41;51;58;63;67,,34,1,0.032
0,00000100010111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;32,11;12;13;15;18;38;41;51;58;63;65;67,,34,1,1.953
0,00000100010111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;34,11;12;15;18;31;41;51;58;61;62;63;64;66;67,,34,1,0.034
0,00000100010111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;36,11;12;14;15;18;21;41;51;58;61;63;67,,34;35,1,0.035
0,00000100010111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;41,11;12;15;18;41;51;58;63;67,,34,1,0.032
0,00000100010111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;42,11;12;15;17;18;41;48;51;58;61;63;67,63,34;44,1,0.034
0,00000100010111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;43,11;12;15;18;41;51;58;63;65;67,,34;44,1,0.034
0,00000100010111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;48,11;12;15;18;41;51;58;63;67,,34,1,0.033
0,00000100010111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;52,11;12;15;18;28;41;48;51;58;63;65;67;68,63,34;44,1,0.033
0,00000100010111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;55,11;12;15;18;41;51;58;63;66;67,,34;45,1,13.818
0,00000100010111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;60,11;12;13;15;17;18;28;31;41;51;58;63;67;68,,34;44,1,0.034
0,00000100010111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;61,11;12;15;18;41;51;58;63;67,,34,1,0.033
0,00000100010111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;62,11;12;15;18;41;51;58;63;67,,34,1,0.034
0,00000100010111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;63,11;12;15;18;41;51;58;63;67,,34,1,0.033
0,00000100010111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;67,11;12;15;18;41;51;58;63;67,,34,1,0.033
0,00000100010111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;73,11;12;15;17;18;21;41;48;51;58;63;64;67;68,,34;44,1,0.034
0,00000100010111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;74,11;12;15;18;21;41;48;51;58;63;65;66;67,,34;44,1,1.796
0,00000100010111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10;76,11;12;15;18;28;41;51;58;61;63;65;67,,34;45,1,0.033
0,00000100011001110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;12,11;12;15;51;63,,34,1,0.034
0,00000100011010110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;13,11;12;15;51;63,,34,1,0.034
0,00000100011011010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;14,11;12;15;51;63,,34,1,0.034
0,00000100011011100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;15,11;12;15;51;63,,34,1,0.035
0,00000100011011110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;19,11;12;15;48;51;62;63;66,,34;35,1,0.032
0,00000100011011110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;20,11;12;15;18;28;41;51;63;65;66,,34,1,0.034
0,00000100011011110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;26,11;12;14;15;48;51;58;63,,34;35,1,0.035
