orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
0,2,15;52,-1,0,0,2
0,2,15;55,-1,0,0,2
0,2,15;60,-1,0,0,2
0,2,15;61,-1,0,0,2
0,2,15;63,-1,0,0,2
0,2,15;68,-1,0,0,2
0,2,15;73,-1,0,0,2
0,2,15;74,-1,0,0,2
0,2,15;76,-1,0,0,2
0,2,16;17,-1,0,0,2
0,2,16;19,-1,0,0,2
0,2,16;20,-1,0,0,2
0,2,16;21,-1,0,0,2
0,2,16;26,-1,0,0,2
0,2,16;29,-1,0,0,2
0,2,16;30,-1,0,0,2
0,2,16;31,-1,0,0,2
0,2,16;32,-1,0,0,2
0,2,16;34,-1,0,0,2
0,2,16;36,-1,0,0,2
0,2,16;41,-1,0,0,2
0,2,16;42,-1,0,0,2
0,2,16;43,-1,0,0,2
0,2,16;48,-1,0,0,2
0,2,16;51,-1,0,0,2
0,2,16;52,-1,0,0,2
0,2,16;55,-1,0,0,2
0,2,16;60,-1,0,0,2
0,2,16;61,-1,0,0,2
0,2,16;63,-1,0,0,2
0,2,16;68,-1,0,0,2
0,2,16;73,-1,0,0,2
0,2,16;74,-1,0,0,2
0,2,16;76,-1,0,0,2
0,2,17;19,-1,0,0,2
0,2,17;20,-1,0,0,2
0,2,17;21,-1,0,0,2
0,2,17;26,-1,0,0,2
0,2,17;29,-1,0,0,2
0,2,17;30,-1,0,0,2
0,2,17;31,-1,0,0,2
0,2,17;32,-1,0,0,2
0,2,17;34,-1,0,0,2
0,2,17;36,-1,0,0,2
0,2,17;41,-1,0,0,2
0,2,17;42,-1,0,0,2
0,2,17;43,-1,0,0,2
0,2,17;48,-1,0,0,2
0,2,17;51,-1,0,0,2
0,2,17;52,-1,0,0,2
0,2,17;55,-1,0,0,2
0,2,17;60,-1,0,0,2
0,2,17;61,-1,0,0,2
0,2,17;63,-1,0,0,2
0,2,17;68,-1,0,0,2
0,2,17;73,-1,0,0,2
0,2,17;74,-1,0,0,2
0,2,17;76,-1,0,0,2
0,2,19;20,-1,0,0,2
0,2,19;21,-1,0,0,2
0,2,19;26,-1,0,0,2
0,2,19;29,-1,0,0,2
0,2,19;30,-1,0,0,2
0,2,19;31,-1,0,0,2
0,2,19;32,-1,0,0,2
0,2,19;34,-1,0,0,2
0,2,19;36,-1,0,0,2
0,2,19;41,-1,0,0,2
0,2,19;42,-1,0,0,2
0,2,19;43,-1,0,0,2
0,2,19;48,-1,0,0,2
0,2,19;51,-1,0,0,2
0,2,19;52,-1,0,0,2
0,2,19;55,-1,0,0,2
0,2,19;60,-1,0,0,2
0,2,19;61,-1,0,0,2
0,2,19;63,-1,0,0,2
0,2,19;68,-1,0,0,2
0,2,19;73,-1,0,0,2
0,2,19;74,-1,0,0,2
0,2,19;76,-1,0,0,2
0,2,20;21,-1,0,0,2
0,2,20;26,-1,0,0,2
0,2,20;29,-1,0,0,2
0,2,20;30,-1,0,0,2
0,2,20;31,-1,0,0,2
0,2,20;32,-1,0,0,2
0,2,20;34,-1,0,0,2
0,2,20;36,-1,0,0,2
0,2,20;41,-1,0,0,2
0,2,20;42,-1,0,0,2
0,2,20;43,-1,0,0,2
0,2,20;48,-1,0,0,2
0,2,20;51,-1,0,0,2
0,2,20;52,-1,0,0,2
0,2,20;55,-1,0,0,2
0,2,20;60,-1,0,0,2
0,2,20;61,-1,0,0,2
0,2,20;63,-1,0,0,2
0,2,20;68,-1,0,0,2
0,2,20;73,-1,0,0,2
0,2,20;74,-1,0,0,2
0,2,20;76,-1,0,0,2
0,2,21;26,-1,0,0,2
0,2,21;29,-1,0,0,2
0,2,21;30,-1,0,0,2
0,2,21;31,-1,0,0,2
0,2,21;32,-1,0,0,2
0,2,21;34,-1,0,0,2
0,2,21;36,-1,0,0,2
0,2,21;41,-1,0,0,2
0,2,21;42,-1,0,0,2
0,2,21;43,-1,0,0,2
0,2,21;48,-1,0,0,2
0,2,21;51,-1,0,0,2
0,2,21;52,-1,0,0,2
0,2,21;55,-1,0,0,2
0,2,21;60,-1,0,0,2
0,2,21;61,-1,0,0,2
0,2,21;63,-1,0,0,2
0,2,21;68,-1,0,0,2
0,2,21;73,-1,0,0,2
0,2,21;74,-1,0,0,2
0,2,21;76,-1,0,0,2
0,2,26;29,-1,0,0,2
0,2,26;30,-1,0,0,2
0,2,26;31,-1,0,0,2
0,2,26;32,-1,0,0,2
0,2,26;34,-1,0,0,2
0,2,26;36,-1,0,0,2
0,2,26;41,-1,0,0,2
0,2,26;42,-1,0,0,2
0,2,26;43,-1,0,0,2
0,2,26;48,-1,0,0,2
0,2,26;51,-1,0,0,2
0,2,26;52,-1,0,0,2
0,2,26;55,-1,0,0,2
0,2,26;60,-1,0,0,2
0,2,26;61,-1,0,0,2
0,2,26;63,-1,0,0,2
0,2,26;68,-1,0,0,2
0,2,26;73,-1,0,0,2
0,2,26;74,-1,0,0,2
0,2,26;76,-1,0,0,2
0,2,29;30,-1,0,0,2
0,2,29;31,-1,0,0,2
0,2,29;32,-1,0,0,2
0,2,29;34,-1,0,0,2
0,2,29;36,-1,0,0,2
0,2,29;41,-1,0,0,2
0,2,29;42,-1,0,0,2
0,2,29;43,-1,0,0,2
0,2,29;48,-1,0,0,2
0,2,29;51,-1,0,0,2
0,2,29;52,-1,0,0,2
0,2,29;55,-1,0,0,2
0,2,29;60,-1,0,0,2
0,2,29;61,-1,0,0,2
0,2,29;63,-1,0,0,2
0,2,29;68,-1,0,0,2
0,2,29;73,-1,0,0,2
0,2,29;74,-1,0,0,2
0,2,29;76,-1,0,0,2
0,2,30;31,-1,0,0,2
0,2,30;32,-1,0,0,2
0,2,30;34,-1,0,0,2
0,2,30;36,-1,0,0,2
0,2,30;41,-1,0,0,2
0,2,30;42,-1,0,0,2
0,2,30;43,-1,0,0,2
0,2,30;48,-1,0,0,2
0,2,30;51,-1,0,0,2
0,2,30;52,-1,0,0,2
0,2,30;55,-1,0,0,2
0,2,30;60,-1,0,0,2
0,2,30;61,-1,0,0,2
0,2,30;63,-1,0,0,2
0,2,30;68,-1,0,0,2
0,2,30;73,-1,0,0,2
0,2,30;74,-1,0,0,2
0,2,30;76,-1,0,0,2
0,2,31;32,-1,0,0,2
0,2,31;34,-1,0,0,2
0,2,31;36,-1,0,0,2
0,2,31;41,-1,0,0,2
0,2,31;42,-1,0,0,2
0,2,31;43,-1,0,0,2
0,2,31;48,-1,0,0,2
0,2,31;51,-1,0,0,2
0,2,31;52,-1,0,0,2
0,2,31;55,-1,0,0,2
0,2,31;60,-1,0,0,2
0,2,31;61,-1,0,0,2
0,2,31;63,-1,0,0,2
0,2,31;68,-1,0,0,2
0,2,31;73,-1,0,0,2
0,2,31;74,-1,0,0,2
0,2,31;76,-1,0,0,2
0,2,32;34,-1,0,0,2
0,2,32;36,-1,0,0,2
0,2,32;41,-1,0,0,2
0,2,32;42,-1,0,0,2
0,2,32;43,-1,0,0,2
0,2,32;48,-1,0,0,2
0,2,32;51,-1,0,0,2
0,2,32;52,-1,0,0,2
0,2,32;55,-1,0,0,2
