Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000111110000101110101010100111000000011001000011001101100001101000,1,[9], ,1,[(0  9)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.001
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000111110000101110101010100101000000011001000011001101100001101000,2,[9, 42], ,2,[(4  2)  (0  9)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.005
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000111110000101110101010100101000000011001000011000101100001101000,3,[9, 42, 64], ,3,[(4  2)  (0  9)  (6  4)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.011
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000101110101010100101000000011001000011000101100001101000,4,[9, 42, 64, 17], ,4,[(4  2)  (0  9)  (6  4)  (1  7)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.008
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000101110101010100101000000011001000010000101100001101000,5,[9, 42, 64, 17, 61], ,5,[(0  9)  (7  1)  (6  4)  (6  1)  (1  4)],0,0,01000100011001100011110000101110101010100101000000011001000011001101100101101000,0100010001100001011101000010000100100001011010,0.016
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000101110101010100101000000010001000010000101100001101000,6,[9, 42, 64, 17, 61, 52], ,7,[(7  1)  (6  2)  (2  6)  (3  1)  (7  0)  (1  1)  (1  7)],0,0,01000100001101000111110000001111101010100101000000010001000010100101101101101000,0100010000100000011101000010000000100011011010,0.216
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000001110101010100101000000010001000010000101100001101000,7,[9, 42, 64, 17, 61, 52, 26], ,6,[(7  1)  (3  1)  (6  2)  (7  0)  (1  1)  (1  7)],0,0,01000100001101000111110000001111101010100101000000010001000010100101101101101000,0100010000100000011101000010000000100011011010,0.04
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000001110101010100101000000010001000010000101000001101000,8,[9, 42, 64, 17, 61, 52, 26, 68], ,7,[(7  1)  (3  1)  (6  2)  (6  8)  (7  0)  (1  1)  (1  7)],0,0,01000100001101000111110000001111101010100101000000010001000010100101101101101000,0100010000100000011101000010000000100011011010,0.096
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100001001000011110000001110101010100101000000010001000010000100000001101000,9,[9, 42, 64, 17, 61, 52, 26, 68, 67], ,8,[(4  2)  (7  0)  (1  1)  (1  4)  (6  2)  (6  8)  (6  7)  (3  1)],0,0,01000100001101100011110000001111101010100111000000010001000010100101101001101000,0100010000100000011101000110000000100010011010,1.535
