Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111110000101110101010100111000000011001000011001101100001101000,1,[1], ,1,[(0  1)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.001
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111110000101110101010100111000000011001000011001001100001101000,2,[1, 65], ,2,[(0  1)  (6  5)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.008
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111110000101110101010100111000000011001000011001001100001101000,3,[1, 65, 65], ,2,[(0  1)  (6  5)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.008
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010100111000000011001000011001001100001101000,4,[1, 65, 65, 20], ,3,[(2  0)  (0  1)  (6  5)],0,0,01000100011001000111110000101110101010100111000000011001000011001101100001101000,0100010001100001011101000110000100100000011010,0.271
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010100111000000011001000011000001100001101000,5,[1, 65, 65, 20, 64], ,7,[(3  6)  (5  4)  (7  0)  (5  8)  (0  6)  (6  5)  (3  1)],0,0,00000110011001000111010000101111101000100111000000011011001011000101101001101000,0000011001000001011100000110000101100010011010,0.148
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010100101000000011001000011000001100001101000,6,[1, 65, 65, 20, 64, 42], ,6,[(7  5)  (4  0)  (5  6)  (2  2)  (0  1)  (3  1)],0,0,01000100011001000111011000101111101010101101000000011001100011000001100001111000,0100010001010001011101001010000100110000011110,5.619
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010100001000000011001000011000001100001101000,7,[1, 65, 65, 20, 64, 42, 41], ,8,[(7  0)  (5  0)  (5  4)  (1  2)  (6  2)  (1  4)  (1  1)  (6  6)],0,0,00000100011111100111010000101110101010100001000000111011000011100011101001101000,0000010001000001011101000010001101100010011010,1.936
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010100001000000011001000011000001100001101000,8,[1, 65, 65, 20, 64, 42, 41, 20], ,8,[(7  0)  (5  0)  (5  4)  (1  2)  (6  2)  (1  4)  (1  1)  (6  6)],0,0,00000100011111100111010000101110101010100001000000111011000011100011101001101000,0000010001000001011101000010001101100010011010,1.902
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,00000100011001000111010000101110101010000001000000011001000011000001100001101000,9,[1, 65, 65, 20, 64, 42, 41, 20, 38], ,8,[(2  4)  (7  2)  (3  5)  (2  7)  (0  3)  (6  3)  (5  8)  (6  4)],0,0,00010100011001000111010010111110101110000001000000011001001011011001100011101000,0001010001000101111101000010000100100000111010,9.346
