node,origami_data,decoded_stream,errors_positions,success,decoding_time
2,00110001100000000100000010001100000000011100000100001001100001001110010001001101,,[],0,30.539
2,00011000101000000000000010001100000000011100000100001010000010011010011111001000,11110010011011101001011010000011000001000000001001000011011110000000000001100010,[],0,0.2
2,10110011111001011011000111010001100000111000010000110000000000100000000010000100,,[],0,20.216
2,00110011101000001001000101000001100000111000010000110001000000000000000100001000,,[],0,38.292
2,00100000001000000010000010000100000001101100101100010011100101111001011111000000,01000101001100100001110001100001100010000011010011100111101010100111100000001111,[],0,0.934
2,00100000001000000100000000001100011000011000001100010111100110110100010100010000,01000100101011110001010111100100000011100101100001000000001111000001001011000000,[],0,1.989
2,00110001000000001000000110001000001000100100001100000011100010011110011110001100,,[],0,33.575
2,00100001101000000100000000000000000000011000000110001010100011010010011101001100,11011011011101101001001010100010000001100100000001000000001010000001000010000010,[],0,7.606
2,00110001001000000100000000001100001000011100000110001011100011110110011110001101,,[],0,31.378
2,00110001001000000100000010001100001000001100000110001000100001011110010101111100,,[],0,26.095
2,00100001100010000101000000001100001000011000000111001011100011011010010110001101,10110001101101011011010111011011100000011010010000110000001010101001000011000100,[],0,5.904
2,00111001101000000100000000001100001000011100000100001010000011000110010110001100,01000011001100011111001010000011010001100000100011010010001110000001000011100110,[],0,22.561
2,00100111011011010100001110110001100000101000010000100000000100100000010110000100,,[],0,31.951
2,00010001100000000100000010001100001000011000000110000011100011001110000111001001,,[],0,27.017
2,00000000000000000000000000001110000000000100000110010001000000010010001100001100,,[],0,45.261
2,00110011101001000011000111000000000000010000010000110001000000100000000110011000,,[],0,32.687
2,00100001101000000010000000001100001000011100000110001011100011111110011101001100,11011011001111111001001011100011000001100000100011010000001110101000100110000110,[],0,0.211
2,00010000001000000100000011001000001000011100000110000011100011111010010111001100,01110011001111111111000011100011000001100001100001000010001110000101001001000000,[],0,5.808
2,00110001101000000000000010001100001000011000000110001001100011111000010111001100,01110011001111101001011001100010000001100110000001100010001110000010000011000110,[],0,0.432
2,10111010101001110011000111010001100000111000010000110001000000100000010011101100,01010111011110111111001011100011000001100000100001000010001110101011000111011000,[],0,0.43
2,00100001101000000100000000001100001000011100000010000011000011011010011111000100,11010001001101101001010011001011000000110000100001000010001110010101000010000110,[],0,1.062
2,00000101101000000110000010000100001000011100000100001011100011110010011111010000,11110110001111001001001011100011000001000000100011000010101111000101100000110110,[],0,10.854
2,01111101001000000100000010001100001000011100000110001010100011011000010111001101,01110011011101100111101010100011000001100110100011100010001110000001000101110100,[],0,0.78
2,10110011001000001010000101010001100000110000010000010001000011100000000110001010,,[],0,25.806
2,00111101101000000100000110001000011000010100000110001010100011001110010111001100,01110011011100111011011010101001000001100101100001000111101010010001000011110110,[],0,19.351
2,00111001101000000110000000001100001000111100000110000011100011011010010111001100,,[],0,20.531
2,00000011100110101000000100100101111010001111010001110001110001000000010100011101,,[],0,23.972
