node,origami_data,decoded_stream,errors_positions,success,decoding_time
3,00001011000010100000001100100101111000001111110000110011000001000100010000010010,,[],0,29.252
3,01100100001001001101100001010000000100010001011000001000110010000011101000010100,01111100001001001101110101011000001100010001011000001010110010000011101100010100,[],0,23.023
3,01101001000100100010010100000011010100100001010001011100000001111000100100001110,,[],0,28.032
3,00001000000011011100001000000110001001011111000000011010100011001001001000000000,,[],0,34.394
3,00110100100010000000001100000000011011010000100000101110000000000000110010000100,,[],0,47.807
3,00000000011001111100111100000000000011010000000001000010111100011100000001000010,,[],0,36.225
3,00000000001000000000100000000000010111000001110100000100010000110000000000000000,,[],0,44.413
3,01001000110000011000000000001000000000010000010000001000000011110000000010000000,,[],0,36.761
3,01000000001001110010000001101001001100000010111000010000100001100111100010000110,,[],0,26.22
3,00011100101110111001000010000000001100000010110110000011010011000001000000001000,,[],0,20.45
3,11010010001000000000110000010110101101011000000001111000100000100110011001001000,10110010001010011001111100100010000000011011110101110000010110001100001111001000,[],0,6.026
3,01000000001010100000000000000000001110010000010010000000000001111000011100000000,,[],0,26.153
3,01001001000100100000010000000001100000100000011000101000000010010001100101101110,,[],0,36.8
3,00000000000000111000000001011000010000100000000010000100001100100000010001000000,,[],0,33.69
3,01011001010000011010000010000110010010010100000000011000000010010000000001010010,,[],0,38.245
3,00000000000000000000000001001000110011011100000000010000000100000001100000000000,,[],0,43.906
3,00000000000100000001000000000001000100000100000000001000010001010101000100000100,01100010101010111011001000010100000000110000100010010000000010000000100000000000,[],0,29.742
3,00000000001000000000000000000000000100000101011000000100000000000000000000000000,,[],0,46.734
3,00000000000011001001000110000011000001000100000110001010000000100000000000000000,00000000001111001101000001100000100000110110001010000001010010000011100000000001,[],0,19.031
3,01101000001011100000010000000001000000111000000101111000001000100000011010111100,,[],0,298.126
3,10101000000011100001100000011000001000100010101110001111110010011100001010010000,,[],0,22.636
3,01000001000000000100110001100000000011000001100100000000110101000000010000001000,,[],0,940.035
3,00001000000010100001010000000000110011001001100000000100000010011010001001000011,,[],0,35.877
3,00000000001101101000001000001011110100001110000100000111100010000100001000111010,,[],0,54.014
3,10000001000100100000000101001000001001000000000000011100001111010000010100000000,10000000101001001011110000111001100000000010010000010010110010000101100010000001,[],0,28.757
3,00010000000011110000000111100000001111001100000100000000000000000000010001000000,,[],0,17.988
3,10001100000111110001000010000110110000000000001110001110100100011000011000000100,,[],0,24.754
3,00110000100000000010000000000001100110011010010011001000000000001101010000010010,,[],0,31.714
3,10000100001000101001000010000000000110000000001101000001011000000100100100010000,00001000011001010101010001010000011000001111000000111010000011001010000000100110,[],0,4.505
3,00010000000001010000000010000010011100000000110000000101000010000010001000000001,10000000011001000001000010100001001100000000111001000001000010001110100100101010,[],0,5.072
3,01101001000110100000010100000001100110110000011001010100000001001000000100101000,,[],0,29.158
3,00010001100010000110011011110000101111000011011000000000000110001110110110001100,,[],0,18.505
3,00101000100100000110000000100000000000000101000110010000111000000000000010000110,,[],0,30.892
3,00010000000000000100000000000000001000100000010000000001110000000011100000000100,,[],0,29.736
3,00000000000010001110011010001001000010000111010000000010100000010110110001001100,,[],0,24.459
3,00010010010001000000000011000010011001101000110000001101000000010000000000001010,,[],0,27.213
3,01110000111100110001000010000000001000000010110110001100110001100010000100001100,01110000111101110001000110010011001000000110110110001100110011100010000100001100,[],0,4.291
3,00010000000000000000101100000000101111000001110110000010111000000000000000000100,,[],0,32.383
3,00001100100111111001100000000000001100100000110100001011111001100000000100001100,,[],0,26.601
3,00001000000110100000000100100001100000011111011111110000100001000101010000010000,,[],0,30.065
3,01001000001010000001000000000000001010010000010010000000000001110000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,[],1,0.012
3,00100100100011110010000110000101101000001101010001110000110001000110010000110000,,[],0,22.233
3,00000110000000011000000011000000011000000000000000100000100100000001000100011101,,[],0,34.896
3,10011010000001101011001011010010000000011000010000101001000001100000010011011000,00011111001000000111000010110111001000111000000001101011011011010110000001011001,[],0,7.02
3,01100010001001110001100001100000000111110011001011000000111001000110100100001000,,[],0,27.776
3,10011100000000100100110000011000011100000001110001100011000001000101000100001100,,[],0,22.797
3,00000000000000000000000000000000001010000000110000000000000000000000000000000000,00000000001000010001000000001000001010000000110000000000001010010000000000000010,[],0,19.217
3,01001000001010000000001000000100001010000000001011000000001011110000001000000010,,[],0,34.778
3,00100101100010110010001010100101101000001101010001100001010001100010010000011100,,[],0,22.14
3,10010001001010000000110001011001101000000110000000110100000000010001001100010000,,[],0,36.033
3,00100000100000001100000000100000011010010100000001010000011100000010110001000000,,[],0,28.37
3,01000000000001011001000011000000000110000010000100000000110010000001101000010000,,[],0,24.807
3,01001000001010000000000011000000000000010000010010000000000001100000001100000000,,[],0,24.004
3,00010000000010000010010000110001000000100000000010000010001100000000011010000100,,[],0,1027.579
3,01101000000101000001011000000000111000001000000000001001001100100001110001001110,,[],0,26.652
3,00100100100011100000001010000101011000000001110000110000100000000010010000010001,,[],0,938.353
3,10111000000010000010100000001010001011110001010100000001100001000011000101000100,,[],0,23.833
3,01101001001101000000010000001001100000100010110000111000001000010000001001000100,,[],0,32.14
3,00000010001011000100011000010000011010000010001000101100000010111000000000000100,,[],0,33.752
3,01000000001011001000000011000100000110000000001110000100100100000000100100001000,,[],0,958.91
3,00000000100000011110000000000001001000001001010000000010000000000001010000010010,00000100101000010101000010000010010100000100100000000000000010000111100000000011,[],1,1.237
3,01000010011000000111110011011111011000001100000110001100011011101011000100111100,,[],0,16.127
3,01011000001000000000000011000000011110000000111010000010010111110000011001000010,,[],0,952.09
3,00110010011001111100101101100001100011000000011110000011111100001110010001100011,,[],0,21.581
3,01010000000010000000011000001001100100000000000001011100000000001001100000001100,,[],0,1073.639
