node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,00000111011100001100010100011000101011000001110100101100000001111100010101110011,,5,4,0,18.454
1,11000000101000011111000000100000101110000111000100001000111000100000110001100000,00000100111111101001000100000000011101000010101110011100010011000111000000111010,9,0,0,15.854
